CRE	Name	OrigGold	NewGold
bgbishop	Bishop	125	93
bgcalaha	Calahan	121	90
bgking	King	102	75
bgqueen	Queen	102	75
bgsendai	Sendai	172	129
bullrush	Bullrush	5	3
daerragh	Daer'Ragh	58	42
gatewere	Gatekeeper	87	63
halfmiri	Dead Halfling Messenger	10	6
hobelite	Hobgoblin Elite	5	3
ironelit	Black Talon Elite	20	15
ironguar	Guard	20	15
moorlock	Moorlock	64	48
mtowfr_a	Peasant	8	6
mtowfr_b	Peasant	8	6
mtowfr_c	Peasant	8	6
mtowfr_e	Peasant	8	6
mtowfrsc	Peasant	8	6
mtowfrst	Peasant	8	6
nobwba_a	Noblewoman	13	9
nobwba_d	Noblewoman	13	9
nobwba_e	Noblewoman	13	9
nowbax_a	Noblewoman	13	9
nowbax_b	Noblewoman	13	9
nowbax_c	Noblewoman	13	9
nowbax_d	Noblewoman	13	9
nowbax_e	Noblewoman	13	9
aasim	Aasim	95	69
achen	Statue	49	36
addy	Addy	13	9
agnasi	Agnasia	95	69
ajanti	Ajantis	5	3
ajanti4	Ajantis	26	18
ajanti6	Ajantis	48	36
alai	Alai	66	48
alanbl	Alan Blackblade	75	54
alatos	Alatos "Ravenscar" Thuibuld	136	102
albert	Albert	250	186
aldeth	Aldeth Sashenstar	1240	930
alexan	Alexander	37	27
alora	Alora	45	33
alora6	Alora	57	42
alvanh	Alvanhendar	45	33
alyth	Alyth	50	36
amnis3	Amnish Soldier	8	6
amnis4	Amnish Soldier	13	9
andris	Andris	109	81
angelo	Angelo	230	171
aoln	Aoln	12	9
ardeno	Ardenor Crush	104	78
ardrou	Ardrouine	70	51
arkani	Arkanis Gath	9	6
arkani3	Arkanis Gath	9	6
arkion	Arkion	500	375
arkush	Arkushule	38	27
arlin	Arlin	38	27
baerin	Baerin	49	36
baresh	Baresh	72	54
baresh2	Baresh	72	54
bart10	Bartender	9	6
bart11	Bartender	9	6
bart12	Bartender	12	9
bart13	Bartender	9	6
bart14	Bartender	9	6
bart15	Bartender	9	6
bart16	Bartender	9	6
bart2	Bartender	14	9
bart3	Bartender	24	18
bart4	Bartender	7	3
bart5	Bartender	11	6
bart6	Bartender	34	24
bart7	Bartender	9	6
baruk	Ba'ruk	5	3
bayard	Bayard	511	381
beland	Be'land	10	6
bellam	Bellamy	25	18
belt	Belt	87	63
bentan	Bentan	45	33
bentha	Bentha	24	18
bently	Bentley Mirrorshade	80	60
berrun	Berrun Ghastkill	958	717
beyn	Beyn	66	48
bheren	Bheren	52	39
billy	Billy	49	36
blackl	Black Lily	98	72
blane	Dawn Priest Blane	64	48
bor	Bor	38	27
borda	Borda	74	54
bouncer	Bouncer	4	3
brage	Brage	83	60
brage2	Brage	83	60
bran	Dawn Priest Bram	64	48
brandi	Brandilar	38	27
brathl	Brathlen	20	15
brenda	Brendan	81	60
brevli	Brevlik	20	15
brielb	Brielbara	400	300
brilla	Brilla	30	21
brunos	Brunos	256	192
bub	Bub Snikt	49	36
cailan	Statue	84	63
caldo	Caldo	39	27
cander	Canderous	5	3
canto	Ioin Gallchobhair	74	54
carsa	Carsa	25	18
carsto	Carston	71	51
cattac	Cattack	34	24
catura	Caturak	16	12
chanth	Chanthalas Ulbright	50	36
chelan	Chelan	6	3
chess	Ethereal Voice	45	33
claird	Clair De'lain	149	111
coksmth	Peter of the North	20	15
coran	Coran	27	18
coran5	Coran	42	30
corsone	Corsone	12	9
cuchol	Cuchol	66	48
cult2	Cult Wizard	100	75
cult3	Cult Enforcer	106	78
cultt1	Cult Enforcer	84	63
cyderm	Cyrdemac	50	36
cythan	Cythandria	144	108
davaeo	Davaeorn	109	81
deder	Deder	7	3
deder3	Deder	7	3
degrod	Degrodel	98	72
delain	Delainy	172	129
delain2	Delainy	172	129
delgod	Delgod	49	36
delorn	Delorna	56	42
delsvir	Delsvirftanyon	80	60
delthy	Delthyr	10	6
denak	Denak	102	75
denkod	Denkod	39	27
desret	Desreta	172	129
desslo	Kolssed	26	18
dezkie	Dezkiel	66	48
dhania	Dhanial	82	60
diana	Diana	81	60
diarmid	Diarmid	20	15
dillar	Dillar	20	15
dirk	Dirk	49	36
divine	Diviner	39	27
diyab	Diyab	95	69
drakar	Drakar	84	63
drasus	Drasus	56	42
dratan	Dra'tan	20	15
drelik	Drelik	66	48
dribbe	Dribben	49	36
droth	Droth	129	96
dunkin	Dunkin	54	39
durlyl	Durlyle	64	48
durlyl2	Durlyle	64	48
dushai	Dushai	100	75
edwin	Edwin	39	27
edwin2	Edwin	63	45
edwin4	Edwin	81	60
edwin6	Edwin	102	75
eldoth	Eldoth	27	18
eldoth5	Eldoth	32	24
emerso	Emerson	15	9
ender	Ender Sai	25	18
entill	Entillis Fulsom	91	66
erdane	Erdane	122	90
evalt	Evalt	10	6
fahrin	Fahrington	24	18
faizah	Statue	102	75
faldor5	Faldorn	10	6
farluc	Farluck	58	42
fenrus	Fenrus	30	21
fenten	Fenten	38	27
fireb1	Firebead Elvenhair	391	291
firebe	Firebead Elvenhair	91	66
forthe	Forthel August	4	3
fuller	Fuller	100	75
fuller2	Fuller	100	75
galdor	Angelo	66	48
galken	Galkin	5	3
gallor	Gallor	28	21
galtok	Galtok	54	39
gandol	Gandolar Luckyfoot	45	33
gantol2	Gantolandan	64	48
garan	Garan	66	48
gardus	Gardush	63	45
garric	Garrick	4	3
garric2	Garrick	11	6
garric4	Garrick	43	30
garric6	Garrick	55	39
gazib	The Great Gazib	81	60
geltik	Geltik	11	6
gentho	Genthore	56	42
gerde	Gerde	45	33
gervis	Gervisse	72	54
glanma	Glanmarie	79	57
gnarl	Gnarl	20	15
gnoll5	Ludrug	100	75
gnoll5a	Gnoll	19	12
gorion	Gorion	58	42
gorion3	Gorion	58	42
gorpel	Gorpel Hind	14	9
gretek	Gretek	48	36
greywo	Greywolf	102	75
gurke	Gurke	90	66
gyllia	Gyllian	13	9
hafiz	Hafiz	67	48
hairto	Hairtooth	67	48
hakt	Hakt	5	3
halaca	Halacan	38	27
halffg	Halfling Woman	10	6
hannah	Lady Hannah	13	9
hareis	Hareishan	310	231
haseo	Haseo	64	48
helsha	Helshara	35	24
hobgo5	Hobgoblin	100	75
housen	Guard Enforcer	12	9
housen2	Guard Enforcer	12	9
hull	Hull	100	75
hull2	Hull	100	75
hull3	Hull	100	75
hunter	Ted	12	9
hurgan	Hurgan Stoneblade	1100	825
husam	Husam	145	108
husam2	Husam	145	108
ike	Ike	56	42
ike2	Ike	56	42
imoen4	Imoen	25	18
imoen61	Imoen	32	24
innke2	Winthrop	26	18
innke3	Innkeeper	26	18
innkn2	Innkeeper	26	18
ironm2	Merchant	33	24
ironm3	Merchant	33	24
ironm4	Merchant	33	24
ironme	Merchant	33	24
islsir	Sirine Queen	308	231
ithmee	Ithmeera	23	15
ivanne	Ivanne	58	42
jacil	Jacil	37	27
jaheir	Jaheira	6	3
jaheir2	Jaheira	12	9
jaheir4	Jaheira	22	15
jaheir6	Jaheira	38	27
jalant	Jalantha Mistmyr	200	150
jardak	Jardak	68	51
jebado	Jebadoh	5	3
jemby	Jemby	23	15
jenkal	Jenkal	47	33
joia	Joia	163	120
jopi	Jopi	8	6
jorin	Jorin	78	57
joular	Joular	64	48
kaella	Kaella	13	9
kagain	Kagain	9	6
kagain2	Kagain	14	9
kagain4	Kagain	31	21
kagain6	Kagain	69	51
kahrk	Kahrk	85	63
kaish2	Kaishas Gan	94	69
kaisha	Kaishas Gan	94	69
kaless	Kalessia	23	15
karlat	Karlat	38	27
keldda	Keldath Ormlyr	102	75
kestor	Kestor	105	78
kirian	Kirian	163	120
kivan4	Kivan	11	6
kivan6	Kivan	24	18
kolvar	Kolvar	56	42
kovera	Koveras	250	186
krumm	Krumm	24	18
krysti	Krystin	78	57
kysus	Kysus	66	48
lamalh	Lamalha	94	69
lasala	Lasala	81	60
laskal	Laskal	12	9
lena	Lena	4	3
lendar	Lendarn	159	117
liia	Liia Jannath	235	174
lindin	Lindin	76	57
lobar	Lobar	38	27
madarc	Mad Arcand	32	24
maka	Maka	39	27
malkax	Malkax	13	9
maltz	Maltz	9	6
maneir	Maneira	78	57
marcel	Marcellus	81	60
marek	Marek	201	150
marl	Marl	25	18
meakin	Meakin	49	36
meiala	Meiala the Sirine	308	231
meilum	Meilum	64	48
mendas	Mendas	100	75
mendas2	Mendas	100	75
mendas3	Mendas	100	75
michae	Michael	54	39
minsc6	Minsc	6	3
molkar	Molkar	84	63
montar	Montaron	7	3
montar2	Montaron	7	3
montar4	Montaron	7	3
montar6	Montaron	7	3
morvin	Morvin	38	27
mrshade	Mr. Shade	39	27
mtowf2	Sherman	8	6
mtowfr	Peasant	8	6
mulahe	Mulahey	29	21
mutami	Mutamin	120	90
mysmer	Merchant	355	264
naaman	Naaman	66	48
nader	Nader	23	15
nalin	Nalin	1059	792
nantri	Nantrin Bellowglyn	102	75
narcil	Narcillicus Harwilliger Neen	38	27
narlen	Narlen Darkwalk	75	54
nelik	Nelik	23	15
nestor	Nestor	58	42
nevill	Neville	65	48
niemai	Niemain	282	210
nila	Nila	41	30
nimbul	Nimbul	58	42
nobw8	Lady Areana	500	375
nobwba	Noblewoman	13	9
nortua	Nortuary	75	54
oberan	Oberon	98	72
ogrmba	Ogre Mage	5	3
orduli	Ordulinian	95	69
osmadi	Osmadi	12	9
oublek	Oublek	3000	2250
oulam	Oulam	52	39
pangwa	Pang Wallen	64	48
pargus	Pargus	48	36
permid	Permidion Stark	75	54
peter	Peter	97	72
pheirk	Pheirkas	238	177
phlydi	Phlydia	92	69
phlydi2	Phlydia	92	69
phlydi3	Phlydia	92	69
poe	Poe	56	42
prat	Prat	170	126
quayle4	Quayle	17	12
quayle6	Quayle	24	18
rahvin	Rahvin	49	36
raiken	Raiken	39	27
rance	Statue	49	36
rashad	Rashad	12	9
rededg	Rededge	39	27
reevor2	Reevor	38	27
reevor3	Reevor	38	27
rezdan	Rezdan	32	24
rielta	Rieltar	510	381
riggilo	Riggilo	170	126
rinnie	Rinnie	100	75
safana	Safana	15	9
safana4	Safana	47	33
safana6	Safana	26	18
sailal	Sailor Al	5	3
sailfin	Sailor Finch	13	9
sailjos	Sailor Joss	13	9
sailned	Sailor Ned	5	3
sakul	Sakul	66	48
samant	Samantha	13	9
sarhed	Sarhedra	38	27
sath	Sath	49	36
scar	Scar	5326	3993
schlum	Schlumpsha the Sewer King	16	12
semaj	Semaj	85	63
sewerf5	Sewerfolk	45	33
shaell	Shaella	65	48
shaldr	Shaldrissa	55	39
sharte	Shar-Teel	13	9
sharte4	Shar-Teel	25	18
sharte6	Shar-Teel	49	36
shopkn	Storekeep	24	18
silenc	Silence	82	60
skie	Skie	34	24
skie6	Skie	44	33
slythe	Slythe	54	39
sonner	Sonner	170	126
stepha	Stephan	58	42
sunin	Sunin	102	75
surrey	Surrey	8	6
taerom	Taerom Fuiruim	23	15
taloun	Taloun	65	48
tam	Tam	49	36
tamah	Tamah	163	120
tamoko	Tamoko	125	93
tarnes	Tarnesh	58	42
taugos	Taugosz Khosann	85	63
taxek	Taxek	75	54
telano	Tel-anon	66	48
telka	Telka	78	57
tellan	Tellan	78	57
telmen	Telmen	6	3
tethto	Tethtoril	125	93
tethto2	Tethtoril	125	93
tethto3	Tethtoril	125	93
teven	Teven	45	33
teynga	Teyngan	93	69
thaldo	Thaldorn	350	261
therel	Therella	300	225
thief	Rogue	39	27
thieff	Rogue	39	27
thiefg	Rogue	39	27
thiefm	Rogue	39	27
tiax	Tiax	12	9
tiax4	Tiax	35	24
tiax6	Tiax	35	24
tiber	Tiber	8	6
torlo	Torlo	6	3
torlob	Tor Lobo	78	57
tracea	Tracea Carol	102	75
tranzi	Tranzig	91	66
tremai	Tremain Belde'ar	80	60
turpin	Turpin	13	9
tuth	Tuth	98	72
vail	Statue	64	48
vax	Vax	107	78
vayya	Vay-ya	94	69
venkt	Venkt	92	69
vitiare	Vitiare	73	54
volo	Volo	46	33
voltin	Voltine	24	18
watch2	Watcher	5	3
watch3	Watcher	5	3
wheber	Wheber Ott	52	39
whelp	Whelp	8	6
wilf	Wilf	12	9
william1	William Garst	49	36
winski	Winski Perorate	102	75
winthr2	Winthrop	26	18
winthr3	Winthrop	26	18
wiven	Wiven	90	66
wudei	Wudei	12	9
xzar2	Xzar	11	6
xzar4	Xzar	31	21
xzar6	Xzar	82	60
zal	Zal	49	36
zargal	Zargal	52	39
zeela	Zeela	67	48
zekar	Zekar	5	3
zhalim	Zhalimar Cloudwulfe	68	51
zhurlo	Zhurlong	100	75
zordra	Zordral	79	57
3307wiz	Avrabar	907	678
3316nob1	Wealthy Commoner	50	36
3316nob2	Snobby Noble Woman	50	36
3324nob1	Wealthy Commoner	50	36
3324nob2	Snobby Noble Woman	50	36
3324nob3	Snobby Noble Woman	50	36
3cutsh	Drow Warrior	10	6
a#kram	Kram	34	24
a#kram2	Kram	34	24
abazdg02	Tamah	2500	1875
aemess	Messenger	9	6
agaurora	Aurora	76	57
agbadguy	Corpae	8790	6591
agband01	Bandit	87	63
agband02	Bandit	94	69
agbandle	Bandit Leader	112	84
agbmage1	Mage	56	42
agbmage2	Mage	56	42
agbmage3	Mage	56	42
agboss	Corpae	8790	6591
agkaraea	Karaea Harfurthock	45	33
aglorf01	Mage	6	3
aglorf02	Mage	6	3
aglorf03	Mage	6	3
aglorf04	Mage	6	3
aglorf05	Mage	6	3
aglorf06	Mage	6	3
agloron	Loron	8790	6591
agloron2	Loron	8790	6591
agmag01	Mage	8790	6591
agmag02	Mage	8790	6591
agmag03	Mage	8790	6591
agmag04	Mage	8790	6591
agoakbos	Oak Fist Captain	421	315
agoakdw	Oak Fist Captain	51	36
agoakdw2	Oak Fist	28	21
agoakdw3	Oak Fist Cleric	43	30
agoakdw4	Oak Fist Slinger	22	15
agtomtha	Tomthal Harfurthock	132	99
ahammed	Servant	4	3
ahighma1	High Mage	9	6
aino	Aino Hashimoto	204	153
ainoa	Aino Hashimoto	204	153
alar	Alar	45	33
aldwin	Aldwin	7	3
alenna	Alenna	12	9
alexm	Alex Macintosh	45	33
alror	Alora	200	150
alynar	Sir Alynar	25	18
ambmaevr	Mae'Var	769	576
ambush01	Gatekeeper	87	63
amcler02	Chyil	1000	750
amcst01	Customer	44	33
amcust01	Commoner	25	18
amcust02	Nobleman	80	60
amelia	Amelia	21	15
amelm01	Elminster	100	75
amfaheed	Faheed	170	126
amfem04	Commoner	20	15
amia	Servant	4	3
amlich01	Vongoethe	365	273
ammajira	Majira	110	81
amman03	Commoner	10	6
ammayor	Omar Haraad	100	75
ammerc07	Mercenary	10	6
ammerc08	Mercenary	10	6
ammerc09	Mercenary	10	6
ammgrd02	Monk	20	15
ammgrd03	Monk	20	15
ammonk02	Monk	20	15
ammonk04	Monk	20	15
ammonk05	Monk	20	15
ammonk06	Monk	20	15
amsi	Am-Si	30	21
amsmith	Kerrick the Smith	100	75
amsmug02	Smuggler	15	9
amtcap01	Tethyrian Captain	10	6
amtmag01	Tethyrian Battlemage	25	18
amtpik01	Tethyrian Pikeman	5	3
amwenc01	Leila	44	33
ann11	Ann	13	9
antenos	Antenos	10	6
apsel	Apsel	26	18
ar18fig	Mercenary	20	15
aramir	Aramir Estel	25	18
aran	Aran Linvail	142	105
aran02	Aran Linvail	142	105
arenaa3	Audience	4	3
arenaa4	Audience	5	3
arenaa6	Audience	8	6
arenaf3	Dwarven Fighter	4	3
arenaf5	Fighter	6	3
arenam2	Merchant	7	3
arenam3	Merchant	6	3
arenam4	Merchant	11	6
arenam5	Merchant	22	15
arenar2	Ruffian	5	3
argrim	Lord Ketlaar Argrim	25	18
arianna1	Arianna	312	234
arlaxc3	Courtesan	6	3
arlaxfi1	Fighter	6	3
arlaxfi2	Fighter	5	3
arlaxfi4	Fighter	4	3
arlaxfi5	Fighter	6	3
arlaxgc	City Guard Captain	28	21
arlaxm1	Merchant	6	3
arlaxm2	Merchant	5	3
arlaxm3	Merchant	7	3
arlaxm4	Merchant	12	9
arlaxm5	Merchant	13	9
arlaxm6	Merchant	9	6
arlaxma1	Mage	8	6
arlaxma2	Mage	9	6
arlaxma3	Mage	6	3
arlaxma4	Mage	12	9
arlaxma5	Mage	8	6
arlaxma7	Mage	7	3
arlaxn1	Isac	9	6
arlaxn3	Noble	5	3
arlaxn4	Noble	4	3
arlaxn5	Noble Woman	5	3
arlaxn6	Noble Woman	7	3
arlaxt2	Thief	6	3
arlaxt3	Thief	5	3
arlaxt4	Thief	8	6
arlaxt5	Thief	5	3
arled	Arledrian	7	3
arlhelm1	Shield Knight	8	6
arltrav	Traveller	10	6
army01	Orc	5	3
army2	Stone Soldier	45	33
army3	Stone Soldier	87	63
army4	Stone Soldier	20	15
arngrl01	Missy	4	3
arnman04	Mitsu	15	9
arnwar09	Shadow Thief	25	18
artemis	Artemis Entreri	50	36
arundel	Arundel	10	6
arundeld	Arundel	10	6
arundelh	Arundel	45	33
arvor	Celestial Fire	26	18
asham	Ashamael	658	492
assagrd3	Kalvassa Guard	32	24
assagrd4	Kalvassa Guard	32	24
assagrd5	Kalvassa Guard	32	24
assagrd6	Kalvassa Guard	32	24
auren	Auren	52	39
auren1	Auren	52	39
avbatt02	Avrabar	907	678
avrabatt	Avrabar	907	678
avracut1	Avrabar	907	678
azure	Azure	90	66
