Creature	Name	Item retained	Remove style
bgbasill	Lesser Basilisk	rndtre08	Slots
bgbasill	Lesser Basilisk	rndtre08	Items
bggorf	Gorf	rndtre08	Slots
bggorf	Gorf	rndtre08	Items
basilmut	Greater Basilisk	rndtre08	Slots
basilmut	Greater Basilisk	rndtre08	Items
basilnad	Greater Basilisk	rndtre08	Slots
basilnad	Greater Basilisk	rndtre08	Items
bullrush	Bullrush	none	Slots
duplica2	Mirror Fiend	rndtre07	Slots
duplica2	Mirror Fiend	rndtre07	Items
duplica3	Mirror Fiend	rndtre08	Items
duplica4	Mirror Fiend	rndtre07	Slots
duplica4	Mirror Fiend	rndtre07	Items
duplica5	Mirror Fiend	none	Slots
duplica6	Mirror Fiend	none	Items
gnollper	Gnoll	rndtre08	Slots
gnollper	Gnoll	rndtre08	Items
hobelite	Hobgoblin Elite	none	Slots
hobgoa_a	Hobgoblin	none	Slots
hobgoa_b	Hobgoblin	rndtre07	Slots
hobgoa_b	Hobgoblin	rndtre07	Items
hobgoa_c	Hobgoblin	rndtre07	Slots
hobgoa_c	Hobgoblin	rndtre07	Items
hobgoa_d	Hobgoblin	none	Slots
hobgoa_e	Hobgoblin	none	Slots
hobgob_a	Hobgoblin	none	Slots
hobgob_b	Hobgoblin	rndtre07	Slots
hobgob_b	Hobgoblin	rndtre07	Items
hobgob_c	Hobgoblin	rndtre07	Slots
hobgob_c	Hobgoblin	rndtre07	Items
hobgob_d	Hobgoblin	none	Slots
hobgob_e	Hobgoblin	rndtre07	Slots
hobgob_e	Hobgoblin	rndtre07	Items
ogreberz	Ogre Berserker	none	Slots
ogrebjor	Half Ogre	none	Slots
ogregr_b	Ogrillon	none	Slots
ogregr_c	Ogrillon	rndtre07	Slots
ogregr_c	Ogrillon	rndtre07	Items
ogregr_d	Ogrillon	rndtre07	Slots
ogregr_d	Ogrillon	rndtre07	Items
ogreha_b	Half Ogre	rndtre07	Slots
ogreha_b	Half Ogre	rndtre07	Items
ogrema_a	Ogre Mage	rndtre08	Slots
ogrema_a	Ogre Mage	rndtre08	Items
ogrema_b	Ogre Mage	none	Slots
ogrema_b	Ogre Mage	none	Items
ogrema_c	Ogre Mage	rndtre08	Slots
ogrema_c	Ogre Mage	rndtre08	Items
ogrema_d	Ogre Mage	rndtre08	Slots
ogrema_d	Ogre Mage	rndtre08	Items
ogrema02	Ogre Mage	rndtre08	Slots
ogrema02	Ogre Mage	rndtre08	Items
ogrema03	Ogre Mage	rndtre08	Slots
ogrema03	Ogre Mage	rndtre08	Items
ogremiri	Ogrillon	rndtre07	Items
ogreunsh	Ogre	none	Slots
ankheg	Ankheg	rndtre08	Slots
ankheg	Ankheg	rndtre08	Items
ankhegg	Ankheg	rndtre08	Slots
ankhegg	Ankheg	rndtre08	Items
ankhegq	Ankheg	rndtre08	Slots
ankhegq	Ankheg	rndtre08	Items
arghai	Arghain	none	Slots
baruk	Ba'ruk	rndtre07	Slots
baruk	Ba'ruk	rndtre07	Items
basilg	Greater Basilisk	rndtre08	Slots
basilg	Greater Basilisk	rndtre08	Items
bhobgob	Hobgoblin	rndtre06	Slots
bhobgob	Hobgoblin	rndtre06	Items
britik	Britik	rndtre08	Slots
britik	Britik	rndtre08	Items
carsto	Carston	none	Slots
darryl	Darryl	none	Slots
darryl2	Darryl	none	Slots
dopdop	Greater Doppelganger	none	Slots
dopkie	Kiel the Legion Killer	rndtre08	Slots
dopkie	Kiel the Legion Killer	rndtre08	Items
dopmer	Merchant	rndtre08	Slots
dopmer	Merchant	rndtre08	Items
doppgr	Greater Doppelganger	rndtre08	Slots
doppgr	Greater Doppelganger	rndtre08	Items
dopple	Doppelganger	rndtre08	Slots
dopple	Doppelganger	rndtre08	Items
doppsm	Merchant	none	Slots
etterc	Ettercap	none	Slots
etterc1	Ettercap	none	Slots
flind	Flind	rndtre08	Slots
flind	Flind	rndtre08	Items
garkla	Garclax	rndtre08	Slots
garkla	Garclax	rndtre08	Items
gdopp7	Greater Doppelganger	rndtre08	Slots
gdopp7	Greater Doppelganger	rndtre08	Items
gdopp71	Greater Doppelganger	rndtre08	Slots
gdopp71	Greater Doppelganger	rndtre08	Items
gdopp72	Greater Doppelganger	none	Slots
gdopp73	Greater Doppelganger	rndtre08	Slots
gdopp73	Greater Doppelganger	rndtre08	Items
gdopp74	Greater Doppelganger	rndtre08	Slots
gdopp74	Greater Doppelganger	rndtre08	Items
gdopp75	Greater Doppelganger	rndtre08	Slots
gdopp75	Greater Doppelganger	rndtre08	Items
geltik	Geltik	rndtre07	Slots
geltik	Geltik	rndtre07	Items
glart	Hobgoblin	rndtre07	Slots
glart	Hobgoblin	rndtre07	Items
gnoll	Gnoll	rndtre06	Slots
gnoll	Gnoll	rndtre06	Items
gnoll_a	Gnoll Elite	rndtre06	Slots
gnoll_a	Gnoll Elite	rndtre06	Items
gnoll_b	Gnoll	none	Slots
gnoll_b	Gnoll	none	Items
gnoll_c	Gnoll Chieftain	rndtre08	Slots
gnoll_c	Gnoll Chieftain	rndtre08	Items
gnoll_d	Gnoll Slasher	rndtre06	Slots
gnoll_d	Gnoll Slasher	rndtre06	Items
gnoll_e	Gnoll Veteran	rndtre06	Slots
gnoll_e	Gnoll Veteran	rndtre06	Items
gnoll5	Ludrug	rndtre08	Slots
gnoll5	Ludrug	rndtre08	Items
gnoll5a	Gnoll	rndtre08	Slots
gnoll5a	Gnoll	rndtre08	Items
gnolld	Gnoll	rndtre08	Slots
gnolld	Gnoll	rndtre08	Items
grael	Grael	rndtre08	Slots
grael	Grael	rndtre08	Items
hakt	Hakt	none	Slots
hobgo5	Hobgoblin	rndtre07	Slots
hobgo5	Hobgoblin	rndtre07	Items
hobgob	Hobgoblin	rndtre07	Slots
hobgob	Hobgoblin	rndtre07	Items
hobgoba	Hobgoblin	none	Slots
hobgobc	Chill Hobgoblin	rndtre07	Slots
hobgobc	Chill Hobgoblin	rndtre07	Items
hobjoia	Hobgoblin	rndtre07	Slots
hobjoia	Hobgoblin	rndtre07	Items
ichary	Icharyd	rndtre08	Slots
ichary	Icharyd	rndtre08	Items
ihobgob	Hobgoblin	rndtre07	Items
ingot	Ingot	rndtre08	Slots
ingot	Ingot	rndtre08	Items
itasloi	Tasloi	rndtre06	Items
ixvart	Xvart	rndtre06	Items
kahrk	Kahrk	rndtre08	Slots
kahrk	Kahrk	rndtre08	Items
karan3	Karan	rndtre07	Slots
karan3	Karan	rndtre07	Items
larry	Larry	rndtre06	Slots
larry	Larry	rndtre06	Items
larze	Larze	rndtre08	Slots
larze	Larze	rndtre08	Items
malkax	Malkax	rndtre07	Slots
malkax	Malkax	rndtre07	Items
nexlit	Nexlit the Xvart	rndtre06	Slots
nexlit	Nexlit the Xvart	rndtre06	Items
ogre	Ogre	rndtre08	Slots
ogre	Ogre	rndtre08	Items
ogre02	Ogre	rndtre08	Slots
ogre02	Ogre	rndtre08	Items
ogreco	Ogre	none	Slots
ogregr	Ogrillon	rndtre07	Slots
ogregr	Ogrillon	rndtre07	Items
ogreha	Half Ogre	none	Slots
ogrema	Ogre Mage	rndtre08	Slots
ogrema	Ogre Mage	rndtre08	Items
ogres	Ogre	none	Slots
oopah2	The Amazing Oopah	none	Slots
parda3	Parda	rndtre07	Slots
parda3	Parda	rndtre07	Items
rahvin	Rahvin	rndtre08	Slots
rahvin	Rahvin	rndtre08	Items
