File	Name	Slot	Script
bgbasill	Lesser Basilisk	Slot 592	agrandbr
bgcarbos	Carbos	Slot 592	agrandrb
bggorf	Gorf	Slot 592	agrandbr
bgking	King	Slot 584	agrandrb
bgneb	Neb	Slot 592	agrandbr
bgqueen	Queen	Slot 584	agrandbr
bgsendai	Sendai	Slot 600	agrandbr
bgshank	Shank	Slot 592	agrandbr
bgskelwa	Skeleton Warrior	Slot 592	agrandrb
avaricem	Avarice	Slot 608	agrandrb
banditcy	Ruffian	Slot 584	agrandrb
basilmut	Greater Basilisk	Slot 592	agrandbr
basilnad	Greater Basilisk	Slot 592	agrandrb
daerragh	Daer'Ragh	Slot 600	agrandrb
daesewlf	Daese	Slot 600	agrandrb
duplica1	Mirror Fiend	Slot 584	agrandbr
duplica2	Mirror Fiend	Slot 592	agrandea
duplica3	Mirror Fiend	Slot 592	agrandrb
duplica4	Mirror Fiend	Slot 592	agrandrb
duplica5	Mirror Fiend	Slot 592	agrandrb
duplica6	Mirror Fiend	Slot 592	agrandrp
flambrid	Flaming Fist Mercenary	Slot 600	agrandrb
flamhusb	Flaming Fist Enforcer	Slot 608	agrandrb
flampun2	Flaming Fist Enforcer	Slot 600	agrandbr
gatewere	Gatekeeper	Slot 592	agrandbr
ghoullor	Greater Ghoul	Slot 592	agrandrb
gnollper	Gnoll	Slot 592	agrandrb
gooddeat	Mirror Fiend	Slot 592	agrandrp
hobelite	Hobgoblin Elite	Slot 592	agrandrb
hobgoa_a	Hobgoblin	Slot 592	agrandbr
hobgoa_b	Hobgoblin	Slot 592	agrandrb
hobgoa_c	Hobgoblin	Slot 592	agrandrb
hobgoa_d	Hobgoblin	Slot 592	agrandrb
hobgoa_e	Hobgoblin	Slot 592	agrandrb
hobgob_a	Hobgoblin	Slot 592	agrandbr
hobgob_b	Hobgoblin	Slot 592	agrandrb
hobgob_c	Hobgoblin	Slot 592	agrandrb
hobgob_d	Hobgoblin	Slot 592	agrandbr
hobgob_e	Hobgoblin	Slot 592	agrandrb
hobgzhur	Hobgoblin	Slot 592	agrandrb
ironelit	Black Talon Elite	Slot 600	agrandrb
ironguar	Guard	Slot 600	agrandbr
kaishwlf	Kaishas Gan	Slot 584	agrandrb
knightsk	Undead Knight	Slot 592	agrandrb
kobola_e	Kobold	Slot 592	agrandbr
kobold_d	Kobold	Slot 592	agrandbr
kobold_e	Kobold	Slot 592	agrandbr
koboldab	Kobold	Slot 592	agrandbr
koboldal	Kobold	Slot 592	agrandbr
koboldfl	Kobold	Slot 592	agrandrb
ogreberz	Ogre Berserker	Slot 592	agrandbr
ogrebjor	Half Ogre	Slot 600	agrandlx
ogregr_b	Ogrillon	Slot 592	agrandrb
ogregr_c	Ogrillon	Slot 592	agrandbr
ogregr_d	Ogrillon	Slot 592	agrandbr
ogreha_b	Half Ogre	Slot 592	agrandrb
ogrema_a	Ogre Mage	Slot 592	agrandbr
ogrema_b	Ogre Mage	Slot 592	agrandbr
ogrema_c	Ogre Mage	Slot 592	agrandrb
ogrema_d	Ogre Mage	Slot 592	agrandrb
ogrema02	Ogre Mage	Slot 608	agrandbr
ogrema03	Ogre Mage	Slot 592	agrandbr
ogremiri	Ogrillon	Slot 592	agrandrb
ogreunsh	Ogre	Slot 592	agrandrb
pheoarch	Phoenix Guard	Slot 592	agrandbr
pheogurd	Phoenix Guard	Slot 592	agrandrb
sirine_a	Sirine	Slot 584	agrandbr
sirine_b	Sirine	Slot 584	agrandbr
sirine02	Sirine	Slot 608	agrandbr
skelet_b	Skeleton	Slot 592	agrandrb
skelet_c	Skeleton	Slot 592	agrandbr
skelet03	Skeleton	Slot 592	agrandrb
skelfire	Skeleton	Slot 592	agrandsr
skelpetr	Skeleton	Slot 592	agrandrb
skelwa02	Skeleton Warrior	Slot 592	agrandrb
skelwa03	Skeleton Warrior	Slot 592	agrandbr
taslgurk	Tasloi	Slot 592	agrandbr
aasim	Aasim	Slot 600	agrandbr
alai	Alai	Slot 600	agrandrb
alanbl	Alan Blackblade	Slot 592	agrandbr
alatos	Alatos "Ravenscar" Thuibuld	Slot 592	agrandrb
albert	Albert	Slot 584	agrandbr
aldeth	Aldeth Sashenstar	Slot 592	agrandbr
alexan	Alexander	Slot 600	agrandrb
alvanh	Alvanhendar	Slot 600	agrandbr
alyth	Alyth	Slot 592	agrandbr
amaran	Amarande	Slot 608	agrandbr
amnise2	Amnish Soldier	Slot 600	agrandrp
andris	Andris	Slot 600	agrandbr
angelo	Angelo	Slot 584	agrandbr
ardeno	Ardenor Crush	Slot 608	agrandrb
arghai	Arghain	Slot 608	agrandrb
arghh	Argh	Slot 592	agrandrb
arkion	Arkion	Slot 600	agrandbr
arkush	Arkushule	Slot 600	agrandbr
arlin	Arlin	Slot 592	agrandrb
ashiru	Ashirukuru	Slot 592	agrandrb
baerin	Baerin	Slot 600	agrandbr
bandcap	Bandit	Slot 600	agrandrb
bandcr	Bandit	Slot 592	agrandrb
bandic	Deke	Slot 600	agrandrb
bandit	Bandit	Slot 600	agrandlx
bandita	Bandit	Slot 600	agrandrb
baresh	Baresh	Slot 584	agrandbr
baresh2	Baresh	Slot 600	agrandbr
baruk	Ba'ruk	Slot 608	agrandbr
barwlf	Baresh	Slot 584	agrandbr
basilg	Greater Basilisk	Slot 592	agrandbr
bassil	Bassilus	Slot 608	agrandnc
bayard	Bayard	Slot 592	agrandbr
beland	Be'land	Slot 600	agrandbr
belt	Belt	Slot 600	agrandrb
benjy	Benjy	Slot 600	agrandrb
beyn	Beyn	Slot 600	agrandrb
bhobgob	Hobgoblin	Slot 608	agrandbr
bill	Bill	Slot 600	agrandbr
billy	Billy	Slot 600	agrandrb
blane	Dawn Priest Blane	Slot 600	agrandbr
bor	Bor	Slot 608	agrandbr
borda	Borda	Slot 608	agrandbr
bork	Bork	Slot 592	agrandbr
bouncer	Bouncer	Slot 608	agrandsw
brage2	Brage	Slot 592	agrandbr
bran	Dawn Priest Bram	Slot 600	agrandbr
brandi	Brandilar	Slot 584	agrandbr
brenda	Brendan	Slot 600	agrandbr
brilla	Brilla	Slot 608	agrandrb
britik	Britik	Slot 608	agrandbr
brunos	Brunos	Slot 592	agrandbr
caedmo	Caedmon	Slot 608	agrandbr
caldo	Caldo	Slot 584	agrandrb
canto	Ioin Gallchobhair	Slot 600	agrandrb
carsa	Carsa	Slot 608	agrandrb
carsto	Carston	Slot 584	agrandbr
cattac	Cattack	Slot 584	agrandsr
catura	Caturak	Slot 592	agrandrb
centeo	Centeol	Slot 592	agrandrb
chimp5	Flaming Fist Mercenary	Slot 592	agrandbr
claird	Clair De'lain	Slot 584	agrandrb
coksmth	Peter of the North	Slot 608	agrandbr
corsone	Corsone	Slot 592	agrandbr
credus	Credus	Slot 608	agrandsh
crew1	Crewmate	Slot 592	agrandrb
crew2	Crewmate	Slot 592	agrandbr
crew3	Crewmate	Slot 592	agrandrb
crew4	Crewmate	Slot 592	agrandrb
crew5	Crewmate	Slot 592	agrandbr
crew6	Crewmate	Slot 592	agrandbr
crew7	Crewmate	Slot 592	agrandrb
cuchol	Cuchol	Slot 600	agrandbr
cult1	Cult Guard	Slot 592	agrandrb
cult2	Cult Wizard	Slot 608	agrandrb
cult3	Cult Enforcer	Slot 608	agrandcl
cultd1	Cult Guard	Slot 592	agrandrb
cultd2	Cult Guard	Slot 592	agrandrb
cultd3	Cult Guard	Slot 592	agrandbr
cultd4	Cult Guard	Slot 592	agrandbr
cultd5	Cult Guard	Slot 592	agrandbr
cultd6	Cult Guard	Slot 592	agrandrb
cultt1	Cult Enforcer	Slot 608	agrandbr
cultt2	Cult Guard	Slot 592	agrandbr
cultt3	Cult Assassin	Slot 600	agrandlx
cultt4	Cult Archer	Slot 592	agrandrb
cyderm	Cyrdemac	Slot 592	agrandbr
d2isl	Islanne	Slot 600	agrandrb
dabron	Dabron Sashenstar	Slot 584	agrandbr
daese	Daese	Slot 608	agrandrb
darryl	Darryl	Slot 592	agrandbr
darryl2	Darryl	Slot 592	agrandrb
davaeo	Davaeorn	Slot 584	agrandbr
dead	Miner	Slot 592	agrandrb
dead1	Miner	Slot 592	agrandbr
deathk	Demon Knight	Slot 600	agrandbr
degrod	Degrodel	Slot 592	agrandbr
delain2	Delainy	Slot 592	agrandbr
delgod	Delgod	Slot 600	agrandbr
delthy	Delthyr	Slot 600	agrandrb
denak	Denak	Slot 608	agrandbr
denkod	Denkod	Slot 608	agrandrb
desret	Desreta	Slot 584	agrandbr
dezkie	Dezkiel	Slot 600	agrandrb
dhania	Dhanial	Slot 600	agrandbr
diana	Diana	Slot 600	agrandrb
diarmid	Diarmid	Slot 600	agrandea
digger	Digger	Slot 600	agrandrb
dirk	Dirk	Slot 600	agrandbr
divine	Diviner	Slot 592	agrandsh
diyab	Diyab	Slot 600	agrandrb
doomdur	Dwarven Doom Guard	Slot 600	agrandrp
dopdop	Greater Doppelganger	Slot 608	agrandbr
dopdur3	Durlag Trollkiller	Slot 584	agrandea
dopisl	Islanne	Slot 608	agrandlx
dopkie	Kiel the Legion Killer	Slot 608	agrandbr
doppgr	Greater Doppelganger	Slot 600	agrandrb
dopple	Doppelganger	Slot 592	agrandrp
doppss	Doppelganger	Slot 584	agrandbr
dopzorl	Doppelganger	Slot 584	agrandbr
dradee2	Dradeel	Slot 600	agrandbr
drakar	Drakar	Slot 600	agrandbr
drasus	Drasus	Slot 600	agrandbr
dratan	Dra'tan	Slot 608	agrandbr
drelik	Drelik	Slot 608	agrandrb
dreppi3	Dreppin	Slot 584	agrandsh
dribbe	Dribben	Slot 600	agrandrg
droth	Droth	Slot 584	agrandcl
druid3	Druid	Slot 584	agrandrb
dryadha	Hamadryad	Slot 592	agrandbr
durlyl2	Durlyle	Slot 592	agrandbr
dushai	Dushai	Slot 592	agrandrb
elkart	Elkart	Slot 592	agrandsr
emitar3	Emissary Tar	Slot 600	agrandbr
erdane	Erdane	Slot 592	agrandbr
erik	Erik	Slot 600	agrandbr
etterc	Ettercap	Slot 608	agrandbr
etterc1	Ettercap	Slot 608	agrandrb
evalt	Evalt	Slot 584	agrandbr
faber	Faber	Slot 600	agrandbr
fahrin	Fahrington	Slot 600	agrandrb
farluc	Farluck	Slot 592	agrandrb
farthi	Farthing	Slot 592	agrandrb
fearm	Fear	Slot 600	agrandrb
fenten	Fenten	Slot 592	agrandbr
fergus	Fergus	Slot 608	agrandbr
ffhunt	Flaming Fist Enforcer	Slot 600	agrandbr
ffsleep	Flaming Fist Mercenary	Slot 600	agrandrp
flam	Flaming Fist Mercenary	Slot 600	agrandrb
flam10	Flaming Fist Mercenary	Slot 608	agrandbr
flam11	Flaming Fist Mercenary	Slot 608	agrandbr
flam12	Flaming Fist Mercenary	Slot 600	agrandsr
flam13	Dilos	Slot 600	agrandbr
flam2	Flaming Fist Mercenary	Slot 592	agrandbr
flam4	Flaming Fist Mercenary	Slot 608	agrandsw
flam5	Flaming Fist Mercenary	Slot 600	agrandrb
flam6	Flaming Fist Mercenary	Slot 608	agrandbr
flam7	Flaming Fist Mercenary	Slot 608	agrandbr
flam9	Flaming Fist Mercenary	Slot 608	agrandrb
flamal	Flaming Fist Enforcer	Slot 584	agrandrb
flamang	Mercenary	Slot 592	agrandrb
flame	Flaming Fist Enforcer	Slot 592	agrandrb
flamen	Flaming Fist Enforcer	Slot 600	agrandrb
flamen2	Flaming Fist Enforcer	Slot 608	agrandbr
flamgg	Flaming Fist Mercenary	Slot 608	agrandlx
flamsco	Flaming Fist Scout	Slot 608	agrandrb
flamvai	Flaming Fist Mercenary	Slot 608	agrandrb
flind	Flind	Slot 592	agrandbr
forthe	Forthel August	Slot 592	agrandsw
fuerne	Fuernebol	Slot 592	agrandrb
fuller3	Fuller	Slot 584	agrandbr
galdor	Angelo	Slot 584	agrandrb
galken	Galkin	Slot 592	agrandea
gallor	Gallor	Slot 584	agrandbr
gantol2	Gantolandan	Slot 592	agrandrp
garan	Garan	Slot 600	agrandnc
gardus	Gardush	Slot 592	agrandbr
garkla	Garclax	Slot 592	agrandrb
