Creature	OldAnim	OldAnimText	NewAnim	NewAnimText
3303grd1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
3303grd2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
3308grd1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
3308grd2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
3308grd3	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
aemess	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
alar	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amarch01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amarch02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amcapt01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amcst02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amcst04	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
amduel01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amduel02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amduel03	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
ammajira	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
ammerc03	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
ammerc07	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
ammerc08	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
ammerc09	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
amtcle01	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
amtcler0	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
army2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
arval	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
b#semaj	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
b#tamoko	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
bentan	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
